1,1032,1070
21,2356,1082
11,1696,2028
29,1696,124
2,1052,1196
3,1073,1331
4,1101,1457
5,1142,1579
6,1195,1697
7,1264,1803
8,1354,1897
9,1452,1970
10,1570,2019
12,1814,2019
13,1924,1975
14,2034,1897
15,2120,1799
16,2189,1697
17,2246,1579
18,2283,1453
19,2320,1331
20,2348,1204
22,2373,927
23,2377,793
24,2369,626
25,2316,458
26,2210,316
27,2039,198
28,1876,137
30,1505,141
31,1354,202
32,1195,312
33,1093,463
34,1036,638
35,1024,789
36,1024,923
